timestamp,open,close
2026-01-04 11:30:00,91480.05,91472.75
2026-01-04 11:31:00,91472.74,91486.91
2026-01-04 11:32:00,91486.91,91500.0
2026-01-04 11:33:00,91499.99,91511.59
2026-01-04 11:34:00,91511.99,91512.52
2026-01-04 11:35:00,91535.05,91544.6
2026-01-04 11:36:00,91544.6,91716.01
2026-01-04 11:37:00,91716.0,91695.98
2026-01-04 11:38:00,91695.99,91651.92
2026-01-04 11:39:00,91651.92,91699.99
2026-01-04 11:40:00,91699.99,91695.6
2026-01-04 11:41:00,91695.6,91704.0
2026-01-04 11:42:00,91698.56,91695.58
2026-01-04 11:43:00,91695.58,91689.99
2026-01-04 11:44:00,91689.99,91670.0
2026-01-04 11:45:00,91670.0,91648.16
2026-01-04 11:46:00,91639.83,91615.79
2026-01-04 11:47:00,91588.3,91615.54
2026-01-04 11:48:00,91615.54,91650.24
2026-01-04 11:49:00,91669.09,91678.9
2026-01-04 11:50:00,91680.14,91676.38
2026-01-04 11:51:00,91671.39,91647.34
2026-01-04 11:52:00,91646.5,91693.82
2026-01-04 11:53:00,91706.07,91715.3
2026-01-04 11:54:00,91715.29,91674.17
2026-01-04 11:55:00,91659.08,91613.39
2026-01-04 11:56:00,91624.25,91583.56
2026-01-04 11:57:00,91583.56,91585.35
2026-01-04 11:58:00,91588.57,91593.34
2026-01-04 11:59:00,91591.6,91556.97
2026-01-04 12:00:00,91549.54,91577.78
2026-01-04 12:01:00,91577.78,91560.69
2026-01-04 12:02:00,91534.64,91546.33
2026-01-04 12:03:00,91546.26,91501.45
2026-01-04 12:04:00,91501.45,91479.01
2026-01-04 12:05:00,91479.0,91515.04
2026-01-04 12:06:00,91515.25,91515.25
2026-01-04 12:07:00,91520.0,91537.4
2026-01-04 12:08:00,91537.39,91497.95
2026-01-04 12:09:00,91479.0,91490.65
2026-01-04 12:10:00,91485.77,91446.96
2026-01-04 12:11:00,91446.97,91428.05
2026-01-04 12:12:00,91428.06,91380.17
2026-01-04 12:13:00,91380.17,91323.26
2026-01-04 12:14:00,91323.25,91299.99
2026-01-04 12:15:00,91293.45,91349.76
2026-01-04 12:16:00,91342.93,91366.02
2026-01-04 12:17:00,91366.01,91356.02
2026-01-04 12:18:00,91358.84,91361.93
2026-01-04 12:19:00,91361.94,91228.32
2026-01-04 12:20:00,91312.39,91326.11
2026-01-04 12:21:00,91339.77,91338.82
2026-01-04 12:22:00,91355.99,91359.99
2026-01-04 12:23:00,91359.99,91360.0
2026-01-04 12:24:00,91360.0,91371.37
2026-01-04 12:25:00,91371.37,91324.27
2026-01-04 12:26:00,91324.27,91300.0
2026-01-04 12:27:00,91300.01,91276.89
2026-01-04 12:28:00,91276.89,91255.55
2026-01-04 12:29:00,91255.55,91256.57
2026-01-04 12:30:00,91237.55,91367.05
2026-01-04 12:31:00,91253.68,91297.65
2026-01-04 12:32:00,91305.13,91317.14
2026-01-04 12:33:00,91317.14,91296.16
2026-01-04 12:34:00,91296.17,91300.0
2026-01-04 12:35:00,91300.0,91277.11
2026-01-04 12:36:00,91277.11,91311.78
2026-01-04 12:37:00,91326.22,91349.99
2026-01-04 12:38:00,91350.0,91354.0
2026-01-04 12:39:00,91354.01,91345.32
2026-01-04 12:40:00,91345.32,91345.31
2026-01-04 12:41:00,91345.31,91378.86
2026-01-04 12:42:00,91378.87,91362.51
